Review,Price,Shipping,Outlook,Quality,Size,Shop_Service,General,Others
"Giày đẹp, đi êm lắm",-1,-1,1,1,-1,-1,-1,-1
Mình săn sale với giá khá rẻ Chất lượng ok  Shipper thân thiện  Sẽ tiếp tục ủng hộ shop,1,1,-1,1,-1,-1,-1,-1
"Hình ảnh và video chỉ mang tính chất minh họa thôi. Về sản phẩm tính thang điểm thì 9/ 10 ạ, khá tốt hợp với giá tiền, shipper thì ân cần thân thiện, giao hàng khá nhanh ạ .",1,1,-1,-1,-1,-1,1,-1
Mình đặt size 39 nhưng chật k đeo nổi. Còn giầy thì đẹp giao hàng nhanh,-1,1,1,-1,0,-1,-1,-1
Nên mua nha mọi người đẹp xuất sắc lun ạ,-1,-1,1,-1,-1,-1,-1,-1
"Giày đẹp giống hình, mọi người nên mua tăng 1 size để khỏi phải mang chật chân, đáng mua mọi người nên mua, giao hàng nhanh.",-1,1,1,-1,2,-1,-1,-1
Đặt đế đen giao đế trắng là sao,-1,-1,-1,-1,-1,0,-1,-1
Hàng đẹp giao nhanh shop nhiệt tình ảnh minh họa,-1,1,-1,-1,-1,1,-1,-1
Đặt hàng từ hôm 21 nay 27 mới nhận đc giày Chân đi 37 38 đặt size 37 vừa y ............,-1,-1,-1,-1,1,-1,-1,-1
"Đã mua của shop mấy lần rồi, sản phẩm uy tín y ảnh tuy nhiên form bé mọi người nên lên 1-2 size. ￼Giày thể thao RENBEN thoáng khí chống mài mòn mới cho nam. Đóng gói tương đối thôi vì có hộp nên cũng k sợ lắm",-1,-1,-1,-1,0,-1,1,-1
"Hàng giao nhanh và đóng gói cẩn thận, mỗi tội shop không có mã freeship.",-1,1,-1,-1,-1,1,-1,-1
"Shop phục vụ rất tốt giao hàng nhanh,lần sau mình sẽ ủng hộ shop tiếp 😘",-1,1,-1,-1,-1,1,-1,-1
"Shop giao hàng nhanh, nhận đc giấy quá bất ngờ vì so với giá tiền là rất đẹp,lên mua nhé mọi người, sẽ ủng hộ shop lần sau",-1,1,1,-1,-1,-1,-1,-1
100k 1 đồi giày này thì quá ok rồi mua cho con đeo 1mùa chật bỏ là vừa,2,-1,-1,-1,-1,-1,-1,-1
"Sản phẩm giao hàng nhanh chất lượng tốt  phù hợp với giá tiền, sẽ mua lại",-1,1,-1,1,-1,-1,-1,-1
Có 👍 không có gì a di đà lạt là một loài thực vật có hoa trong p đi hồi nào vậy em chị em cũng chưa không phải nói 🗣 không biết phải đi làm về không có kịp,-1,-1,-1,-1,-1,-1,-1,2
"Đúng như quảng cáo, giầy đẹp",-1,-1,1,-1,-1,1,-1,-1
(TB) TĂNG KẾT NỐI bn THÊM TÌNH THÂN! Hãy gửi lời chúc tốt đẹp nhất tới những người phụ nữ thân yêu nhân ngày 20/10. VinaPhone tặng riêng Quý khách 20% giá trị thẻ nạp vào NGÀY MAI 17/10/2023. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Ưu đãi hấp dẫn khi nạp thẻ tại https://shop.vnpt.vn/nap-the.html . CSKH: 18001091 (0đ).,-1,-1,-1,-1,-1,-1,-1,2
"Nên mua nha mng, hàng đẹp, giá phải chăng, sẽ quay lại mua thêm nha ạ 🥺",1,-1,1,-1,-1,-1,-1,-1
k có gì để chê lun sẽ ủng hộ shop lần sau.hsjshhdjd,-1,-1,-1,-1,-1,-1,1,-1
Dịch vụ chăm sóc khách hàng của shop mik khá ưng! Sản phẩm còn ok trong tầm giá nữa,-1,-1,-1,-1,-1,1,1,-1
Giày là quà sinh nhật cho nhóc trong hình thấy bé nó cũng ưng lắm,-1,-1,-1,-1,-1,-1,1,-1
